cluster,class,n_samples,n_errors,error_rate,recall,cluster_total,cluster_error_rate
0,Fatal,1082,1070,0.9889,0.0111,163372,0.3238
0,Serious,19685,8457,0.4296,0.5704,163372,0.3238
0,Slight,142605,43372,0.3041,0.6959,163372,0.3238
1,Fatal,694,580,0.8357,0.1643,64927,0.2900
1,Serious,7784,4307,0.5533,0.4467,64927,0.2900
1,Slight,56449,13941,0.2470,0.7530,64927,0.2900
2,Fatal,527,512,0.9715,0.0285,43419,0.3753
2,Serious,6567,2344,0.3569,0.6431,43419,0.3753
2,Slight,36325,13438,0.3699,0.6301,43419,0.3753
3,Fatal,2296,1414,0.6159,0.3841,84383,0.4338
3,Serious,14375,7568,0.5265,0.4735,84383,0.4338
3,Slight,67712,27622,0.4079,0.5921,84383,0.4338
