column,missing_count,missing_pct,suspected_mechanism
2nd_Road_Class,732789,41.1563,MNAR
Junction_Control,641315,36.0188,MNAR
Mean_Vehicle_Age,273118,15.3394,MAR
Mean_Engine_Capacity,243626,13.683,MAR
LSOA_of_Accident_Location,129357,7.2652,MAR
Mean_Driver_Age,69139,3.8831,MAR
2nd_Road_Number,16817,0.9445,MCAR
Road_Surface_Conditions,2435,0.1368,MCAR
Did_Police_Officer_Attend_Scene_of_Accident,277,0.0156,MCAR
Pedestrian_Crossing-Physical_Facilities,163,0.0092,MCAR
Weather_Conditions,161,0.009,MCAR
Pedestrian_Crossing-Human_Control,160,0.009,MCAR
Location_Northing_OSGR,138,0.0078,MCAR
Longitude,139,0.0078,MCAR
Location_Easting_OSGR,138,0.0078,MCAR
Latitude,138,0.0078,MCAR
Carriageway_Hazards,126,0.0071,MCAR
Special_Conditions_at_Site,123,0.0069,MCAR
Junction_Detail,18,0.001,MCAR
1st_Road_Number,2,0.0001,MCAR
Police_Force,0,0.0,Complete
Has_Young_Driver,0,0.0,Complete
Has_Heavy_Vehicle,0,0.0,Complete
Has_Motorcycle,0,0.0,Complete
Hour,0,0.0,Complete
Day,0,0.0,Complete
Month,0,0.0,Complete
Year,0,0.0,Complete
1st_Road_Class,0,0.0,Complete
Urban_or_Rural_Area,0,0.0,Complete
Accident_Severity,0,0.0,Complete
Number_of_Vehicles,0,0.0,Complete
Light_Conditions,0,0.0,Complete
Number_of_Casualties,0,0.0,Complete
Day_of_Week,0,0.0,Complete
Local_Authority_(District),0,0.0,Complete
Local_Authority_(Highway),0,0.0,Complete
Speed_limit,0,0.0,Complete
Road_Type,0,0.0,Complete
Accident_Index,0,0.0,Complete
